player_id,games,total_points,avg_points,avg_finish,top_9_rate,top_20_rate,top_30_rate,made_top_30_games,near_top_30_bubble_games,top_30_bubble_avg_points,top_30_bubble_conversion_rate,points_per_top_30,bubble_score
Cordell,3,3650.0,1216.6666666666667,11.0,0.6666666666666666,0.6666666666666666,1.0,3,1,150.0,1.0,1216.6666666666667,1.0
Кинзу,2,1190.0,595.0,16.5,0.5,0.5,1.0,2,1,150.0,1.0,595.0,1.0
FISHer,2,975.0,487.5,15.5,0.5,0.5,1.0,2,1,200.0,1.0,487.5,1.0
MAKKSMIR,1,400.0,400.0,26.0,0.0,0.0,1.0,1,1,400.0,1.0,400.0,1.0
dolMy,2,660.0,330.0,21.0,0.0,0.5,1.0,2,1,150.0,1.0,330.0,1.0
AlexBluff,1,300.0,300.0,27.0,0.0,0.0,1.0,1,1,300.0,1.0,300.0,1.0
Chimedaschool1,1,300.0,300.0,29.0,0.0,0.0,1.0,1,1,300.0,1.0,300.0,1.0
Koff1ek,1,290.0,290.0,29.0,0.0,0.0,1.0,1,1,290.0,1.0,290.0,1.0
Hotmandog,1,220.0,220.0,26.0,0.0,0.0,1.0,1,1,220.0,1.0,220.0,1.0
Lawyer,1,200.0,200.0,25.0,0.0,0.0,1.0,1,1,200.0,1.0,200.0,1.0
Marseille,1,200.0,200.0,27.0,0.0,0.0,1.0,1,1,200.0,1.0,200.0,1.0
Mr_Techworld,1,200.0,200.0,27.0,0.0,0.0,1.0,1,1,200.0,1.0,200.0,1.0
avveev,1,200.0,200.0,27.0,0.0,0.0,1.0,1,1,200.0,1.0,200.0,1.0
sssx_xsss,1,200.0,200.0,27.0,0.0,0.0,1.0,1,1,200.0,1.0,200.0,1.0
ПокерНЕок,1,200.0,200.0,26.0,0.0,0.0,1.0,1,1,200.0,1.0,200.0,1.0
БОЛЬШОЙ МИХА,1,170.0,170.0,28.0,0.0,0.0,1.0,1,1,170.0,1.0,170.0,1.0
Alina_97,1,150.0,150.0,29.0,0.0,0.0,1.0,1,1,150.0,1.0,150.0,1.0
Ego,1,150.0,150.0,30.0,0.0,0.0,1.0,1,1,150.0,1.0,150.0,1.0
John Fisher,1,150.0,150.0,29.0,0.0,0.0,1.0,1,1,150.0,1.0,150.0,1.0
duy27,1,150.0,150.0,28.0,0.0,0.0,1.0,1,1,150.0,1.0,150.0,1.0
katevertu,1,150.0,150.0,29.0,0.0,0.0,1.0,1,1,150.0,1.0,150.0,1.0
maxim777,1,150.0,150.0,28.0,0.0,0.0,1.0,1,1,150.0,1.0,150.0,1.0
prostachoker,1,150.0,150.0,28.0,0.0,0.0,1.0,1,1,150.0,1.0,150.0,1.0
Горыныч,7,2960.0,422.85714285714283,25.571428571428573,0.42857142857142855,0.42857142857142855,0.8571428571428571,6,2,275.0,1.0,493.3333333333333,0.9142857142857143
Ромчик,7,1540.0,220.0,28.285714285714285,0.0,0.2857142857142857,0.8571428571428571,6,2,200.0,1.0,256.6666666666667,0.9142857142857143
mvp,4,2050.0,512.5,21.25,0.25,0.5,0.75,3,1,200.0,1.0,683.3333333333334,0.85
long_2203,6,2595.0,432.5,32.5,0.3333333333333333,0.5,0.6666666666666666,4,1,300.0,1.0,648.75,0.8
Lock,3,1040.0,346.6666666666667,23.333333333333332,0.3333333333333333,0.3333333333333333,0.6666666666666666,2,1,340.0,1.0,520.0,0.8
Сокол,3,595.0,198.33333333333334,44.333333333333336,0.0,0.3333333333333333,0.6666666666666666,2,1,150.0,1.0,297.5,0.8
sl1dbygad,3,525.0,175.0,46.666666666666664,0.0,0.3333333333333333,0.6666666666666666,2,1,200.0,1.0,262.5,0.8
Chinaski,3,495.0,165.0,33.666666666666664,0.0,0.3333333333333333,0.6666666666666666,2,1,150.0,1.0,247.5,0.8
Настя дай стек,5,1200.0,240.0,27.6,0.0,0.4,0.6,3,1,200.0,1.0,400.0,0.76
Staryii,7,980.0,140.0,46.714285714285715,0.0,0.14285714285714285,0.5714285714285714,4,3,210.0,1.0,245.0,0.7428571428571429
Чека-чека,6,4400.0,733.3333333333334,47.333333333333336,0.3333333333333333,0.3333333333333333,0.5,3,1,200.0,1.0,1466.6666666666667,0.7
Obscur,6,1800.0,300.0,44.166666666666664,0.16666666666666666,0.16666666666666666,0.5,3,1,150.0,1.0,600.0,0.7
Retbin,4,470.0,117.5,32.5,0.0,0.25,0.5,2,1,150.0,1.0,235.0,0.7
vovaa_25,2,200.0,100.0,31.0,0.0,0.0,0.5,1,1,200.0,1.0,200.0,0.7
OlgaaGeorgieva,2,190.0,95.0,37.5,0.0,0.0,0.5,1,1,190.0,1.0,190.0,0.7
GodЗИЛLa,2,150.0,75.0,66.0,0.0,0.0,0.5,1,1,150.0,1.0,150.0,0.7
dance_with_vlad,2,150.0,75.0,43.0,0.0,0.0,0.5,1,1,150.0,1.0,150.0,0.7
nesmotri_v_shelll1,9,1480.0,164.44444444444446,39.22222222222222,0.0,0.2222222222222222,0.4444444444444444,4,1,150.0,1.0,370.0,0.6666666666666667
